Title,Author,Year,Publisher,Genre,Series,Format,Pages,ISBN,Edition,Printing,Value,Rarity,Rating,Condition,Summary,Signed,Status
Edge of Apocalypse,Tim LaHaye and Craig Parshall,2010,Zondervan,Fiction,The End,Hardcover,423,0310326281,First Edition,1st Printing,$8.00,Common; a widely distributed first-edition title with abundant surviving copies,80,"Near Fine: light wear, hasDJ, protectedDJ","First novel in LaHaye and Parshall's End series, following weapons designer Joshua Jordan as economic collapse and mounting global threats set the stage for the end-times prophecies of Revelation.",No,Own
Edge of Battle,Dale Brown,2006,HarperCollins,Techno-Thriller,Jason Richter,Hardcover,,0-06-075300-5,First Edition,First printing,$8,Common; large first-printing hardcover with abundant used copies in circulation,7.8,Good | hasDJ: hardcover with matching dust jacket showing noticeable wear,"When a Cybernetic Infantry Device deployed for U.S.-Mexico border security triggers a deadly incident, terrorist Yegor Zakharov and a rabble-rousing radio host exploit the chaos as Jason Richter and Task Force TALON fight to contain the fallout. Second entry in Dale Brown's Jason Richter series.",No,
Elminster in Hell,Ed Greenwood,2001,"Wizards of the Coast, Inc.",Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 4",Hardcover with dust jacket,352,0-7869-1875-6,First Edition,First Printing,$10,Common; mass-market D&D tie-in fiction; ex-library status caps value regardless of printing,7.32,"Very Good, hasDJ, exLibrary | Really good shape; light dust jacket shelf wear; withdrawn stamp confirms ex-library copy","Fourth novel in Ed Greenwood's Elminster series. The legendary Forgotten Realms wizard is captured by a powerful demon and imprisoned in the Nine Hells, tortured for his mind and forced to choose between death and madness. Cover art by Matt Stawicki, interior art by Sam Wood. Ex-library copy, confirmed by a 'withdrawn' stamp.",,Own
Elminster in Myth Drannor,Ed Greenwood,1997,"TSR, Inc.",Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 2",Hardcover with dust jacket,344,0-7869-0661-8,First Edition,"First Printing, November 1997 (full number line to 1)",$18,"Common; mass-market D&D tie-in fiction, not scarce",7.62,"Very Fine, hasDJ | Great condition; only shelf wear on dust jacket","Second novel in Ed Greenwood's Elminster series, following the young wizard's journey to the elven city of Cormanthor to study magic, culminating in the founding of the legendary Myth Drannor. Cover art by Ciruelo Cabral.",,Own
"Elminster Must Die: The Sage of Shadowdale, Book I",Ed Greenwood,2010,Wizards of the Coast LLC,Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 6 / Sage of Shadowdale, Book 1",Hardcover with dust jacket,352,978-0-7869-5193-2,First Edition,"First Printing, August 2010 (full number line to 1)",$25,"Common; recent mass-market D&D tie-in fiction, not scarce, but desirable to Forgotten Realms collectors in top condition",7.72,"Very Fine, hasDJ | Near perfect condition; dust jacket immaculate","Ed Greenwood's return to his signature Forgotten Realms character Elminster, marking the wizard's debut appearance in the Dungeons & Dragons 4th Edition setting following the world-altering Spellplague. First book of the Sage of Shadowdale duology, sixth overall in the Elminster series.",,Own
Elminster: The Making of a Mage,Ed Greenwood,1994,"TSR, Inc.",Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 1",Hardcover with dust jacket,312,1-56076-936-X,First Edition,"First Printing, December 1994 (full number line to 1)",$18,"Common; large original print run (75,000 copies, sold out within a week of release), not scarce",7.32,"Very Fine, hasDJ | Light dust jacket wear, slightly more at top of spine","First novel in Ed Greenwood's Elminster series, tracing the wizard's origins from a hardscrabble childhood in the kingdom of Athalantar through his early years as a thief and rebel fighter, culminating in his calling by the goddess Mystra. Cover art by Jeff Easley. The original hardcover print run of 75,000 copies famously sold out within a week of its December 1994 release.",,Own
Elminster's Daughter,Ed Greenwood,2004,"Wizards of the Coast, Inc.",Fantasy / Dungeons & Dragons / Forgotten Realms,"The Elminster Series, Book 5",Hardcover with dust jacket,0,0-7869-3199-X,First Edition,"First Printing, May 2004 (full number line to 1)",$20,"Common; mass-market D&D tie-in fiction, not scarce",7.56,"Very Fine, hasDJ | Excellent condition; only shelf/handling scuffing on dust jacket surface","Fifth novel in Ed Greenwood's Elminster series, following Narnra of Waterdeep, a young thief who discovers that her unknown father is none other than Elminster, the most powerful mage in the Forgotten Realms. Cover art by J.P. Targete, interior art by Stephen Daniele.",,Own
Elvenblood: An Epic High Fantasy,Andre Norton and Mercedes Lackey,1995,"Tor Books (Tom Doherty Associates), New York",Fantasy / Epic Fantasy,"The Halfblood Chronicles, Book 2",Hardcover,347,0-312-85548-6,First Edition,First Printing,$15,"Common; widely printed bestselling collaboration, not scarce",7.98,"Near Fine, hasDJ | Near Fine book; Good dust jacket","Sequel to The Elvenbane, following Shana, the Elvenbane prophesied to free the oppressed, and her band of halfbloods, escaped slaves, and free-thinking dragons as they continue their struggle against the tyrannical Elvenlords, aided by the mysterious Iron People. Cover art by Boris Vallejo.",,Own
"Empire of Blue Water: Captain Morgan's Great Pirate Army, the Epic Battle for the Americas, and the Catastrophe That Ended the Outlaws' Bloody Reign",Stephan Talty,2007,Crown,History,,Hardcover,352,0307236609,First Edition,,$10.00,Common; a New York Times bestseller with abundant surviving copies,78,"Near Fine: light wear, hasDJ | dust jacket Good: moderate wear","Talty's narrative history of Captain Henry Morgan and his pirate army, tracing Morgan's rise from Welsh immigrant to legendary privateer who challenged Spanish power in the 17th-century Caribbean.",No,Own
"Euripides: Medea, Hippolytus, The Bacchae",Euripides (trans. Philip Vellacott),1963,The Heritage Press,Classic Literature / Greek Tragedy,,Hardcover,184,,"Heritage Press Edition (newly translated by Philip Vellacott, illustrated by Michael Ayrton)",1963 printing,$60,Uncommon; desirable Heritage Press Greek tragedy volume with Ayrton illustrations,,"Fine: excellent condition, housed in original slipcase (also fine)","Three Euripides tragedies — Medea, Hippolytus, and The Bacchae — newly translated by Philip Vellacott for this 1963 Heritage Press edition, featuring sixteen full-page pen-and-wash illustrations by Michael Ayrton and printed in Great Britain at The Curwen Press.",,
Everville: The Second Book of the Art,Clive Barker,1995,Harper (HarperCollins),Horror / Dark Fantasy,"The Art, Book 2",Paperback,697,,Reprint (paperback; original hardcover was 1st ed. 1994),,$5,"Common; mass-market paperback, widely available",7.62,Shelf worn paperback,"Second novel in Clive Barker's The Art trilogy, following a fantasy world bordering the dream-sea Quiddity",,Own
Executive Intent,Dale Brown,2010,HarperCollins,Techno-Thriller,Patrick McLanahan,Hardcover,416,978-0-06-156085-9,First Edition,First printing,$10,Uncommon; first edition hardcover with matching dust jacket in the used book market,7.8,Very Good | hasDJ: hardcover with matching dust jacket showing light wear,"After the U.S. deploys a missile-launching satellite called Thor's Hammer, Russia and China respond by contesting American dominance in Earth's orbit and the world's oceans, drawing retired Lt. Gen. Patrick McLanahan back into service. Sixteenth entry in Dale Brown's Patrick McLanahan series.",No,
"Fabiola: Or, The Church of the Catacombs",Cardinal Nicholas Wiseman,1997,"Lepanto Press (a division of The League of St. Michael, Inc.), Post Falls, ID",Historical Fiction / Catholic / Religious Fiction,,"Hardcover, no dust jacket",0,,Lepanto Press retypeset reprint,Printed May 1997,$35,"Uncommon; specialty Catholic press retypeset edition, actively sought within Catholic homeschool/traditionalist circles",8.20,"Amazing shape, no dust jacket if one was issued | noDJ","Cardinal Wiseman's 1854 classic novel of Christian persecution under Emperor Diocletian in 4th-century Rome, following the noblewoman Fabiola's journey toward faith amid the martyrdom of early Christians",,Own
Flight of the Old Dog,Dale Brown,1987,Berkley,Techno-Thriller,Patrick McLanahan,Paperback,404,0-425-10893-7,36th Berkley printing,,,Common; mass market paperback from a print run exceeding one million copies,8.3,Very Good | noDJ: mass market paperback with minor shelf wear,"A secret, heavily modified B-52 bomber called the Old Dog must survive Soviet defenses to strike a Star Wars-style laser installation after America's nuclear arsenal is neutralized. Debut novel and first entry in Dale Brown's Patrick McLanahan series.",No,
Fortress of Dragons,C.J. Cherryh,2000,"Eos (an imprint of HarperCollins Publishers), New York",Fantasy,"Fortress Series, Book 4",Hardcover with dust jacket,0,0-06-105055-5,First Edition,"First Eos Printing, May 2000",$12,Common; ex-library copy caps collector value regardless of first-edition status,7.94,"Very Good, protectedDJ, exLibrary | Solid condition overall; ex-library copy; dust jacket protected","Fourth and concluding volume of C.J. Cherryh's Fortress series, following Tristen the wizard-Shaping and King Cefwyn as they confront a resurgent magical threat to the kingdom of Ylesuin. Praised by Locus and the Denver Post on original release. Ex-library copy.",,Own
Forward the Foundation,Isaac Asimov,1993,Doubleday,Science Fiction,Foundation,Hardcover,435,0385247931,First Edition,First Printing,$50,Uncommon,8.6,"Very Fine, protectedDJ | hardcover with bright mylar-protected jacket","The second prequel to Asimov's classic Foundation series, chronicling Hari Seldon's final years as he develops psychohistory amidst political intrigue, personal loss, and the decline of the Galactic Empire.",,Own
Foundation and Chaos,Greg Bear,1998,HarperPrism,Science Fiction,Second Foundation Trilogy #2,Hardcover,352,9780061052422,First Edition,First Printing,$10.00,Common,6.5,Good,Authorized Foundation sequel by Greg Bear featuring Hari Seldon's final years and the development of psychohistory,,Pending Add
Foundation's Triumph,David Brin,1999,HarperPrism,Science Fiction,Second Foundation Trilogy,Hardcover,328,0-06-105241-8,First Edition,First Printing,$15.00,Common,7.2,Good,"The final novel in the Second Foundation Trilogy, authorized by the Asimov estate. Brin ties together threads from Asimov's Robot and Foundation series, exploring the ultimate fate of R. Daneel Olivaw and humanity's future.",,Pending Add
Four Past Midnight,Stephen King,1990,Viking Press,Horror / Novellas,,Hardcover,763,0-670-83358-2,First Edition,First Printing,$35,Common; collectible in first printing with intact jacket,8,"Very Fine, hasDJ | Very Fine (VF): Excellent hardcover; light shelf wear to dust jacket with minor tear","A collection of four novellas — The Langoliers, Secret Window, Secret Garden, The Library Policeman, and The Sun Dog — blending horror, suspense, and supernatural themes.",No,Own
From the Earth to the Moon and Around the Moon,Jules Verne,1865,"The Heritage Press, New York",Science Fiction / Classics / Adventure,"Baltimore Gun Club, Books 1-2",Hardcover,421,,Heritage Press Edition,1970 Heritage Press printing,$22,"Common; unlimited Heritage Press trade edition (companion to the numbered 1970 Limited Editions Club release), not scarce",7.60,"Fine, noDJ | Fine book housed in Fine slipcase, two-tone cloth binding, no dust jacket as issued",Jules Verne's classic science fiction duology follows the Baltimore Gun Club's ambitious plan to build a giant cannon and launch three men to the Moon after the American Civil War. This Heritage Press edition features an introduction by the author's grandson Jean Jules-Verne and sixteen full-page illustrations by Robert Shore.,,Own
